Feature ID,106A_Female_TotalReads,108A_Female_TotalReads,106A_Male_TotalReads,108A_Male_TotalReads
TR100,13,2,2,11
TR1000,1,4,4,1
TR10000,19,7,8,23
TR10001,19,31,31,28
TR10002,69,115,224,211
TR10003,90,78,96,31
TR10004,4,4,17,16
TR10005,15,2,50,72
TR10006,1,9,2,6
TR10006-1,1,0,1,7
TR10006-2,4,8,13,11
TR10008,6,4,33,20
TR10009,58,77,57,30
TR10010,376,421,563,415
TR10011,128,161,631,907
TR10012,11,5,13,9
TR10013,8,8,10,4
TR10014,3,7,20,5
TR10015,26,55,46,53
TR10017,12,24,33,25
TR10018,363,353,627,475
TR10019,154,87,105,54
TR10021,22,7,9,7
TR10022,5,9,27,38
TR10023,26,42,57,44
TR10024,20,25,21,11
TR10025,26,25,54,26
TR10026,8,11,6,39
TR10027,12,37,22,46
TR10028,128,166,260,174
TR10029,32,52,102,44
TR1003,2,6,3,2
TR10030,16,51,82,43
TR10033,142,215,53,67
TR10034,283,252,727,716
TR10035,4,8,13,13
TR10036,5,14,13,14
TR10039,14,20,20,18
TR1004-1,5,2,1,6
TR1004-2,2,0,2,1
TR10040,5,4,0,2
TR10041,4,13,9,8
TR10042,12,9,29,18
TR10045-1,4,6,0,5
TR10045-2,22,24,36,16
TR10046,8,12,10,10
TR10047,45,67,131,110
TR10048,5,2,12,18
TR1005,13,12,22,15
TR10050,5,6,4,5
TR10053,19,9,53,26
TR10055,2,0,3,2
TR10056,815,1070,917,788
TR10057,4,0,5,10
TR10058,5,2,12,17
TR10059,2,2,2,13
TR10060,257,219,381,338
TR10061,26,66,54,155
TR10062,20,8,9,8
TR10063,257,306,428,292
TR10064,7,1,3,13
TR10065,0,172,176,21
TR10066,30,46,24,12
TR10067,4,5,4,11
TR10068,4,2,2,6
TR1007,2,4,10,4
TR10071,36,45,37,38
TR10072,1,8,24,9
TR10074,5,3,6,9
TR10075,11,9,46,43
TR10076,3,8,4,7
TR10077,7,3,2,2
TR10078,4,7,6,5
TR10080,3,2,5,1
TR10080-1,26,6,29,9
TR10080-2,5,9,30,50
TR10081,86,33,54,32
TR10082,4,5,8,6
TR10084,8,4,2,1
TR10085,1,1,11,8
TR10086,0,11,7,17
TR10087-1,0,3,2,9
TR10087-2,5,0,2,0
TR10089,20,13,50,0
TR1009,0,5,9,6
TR10091,1,7,4,3
TR10092,7,9,10,6
TR10093,13,21,25,26
TR10095,9,14,26,23
TR10098,20,10,17,17
TR10099-1,0,0,18,13
TR10099-2,14,0,0,2
TR10099-3,27,8,57,53
TR101,3,3,8,7
TR1010,0,33,0,12
TR10100,4,13,14,16
TR10101,2,5,7,3
TR10102,5,16,18,10
TR10106,0,2,0,7
TR10107-1,3,6,4,2
TR10107-2,0,0,5,8
TR10107-3,4,6,9,3
TR10109,3,14,36,37
TR10110-1,8,3,2,1
TR10110-2,2,8,0,2
TR10111,103,71,42,11
TR10113,11,5,24,22
TR10114,16,22,11,10
TR10115,1,5,13,17
TR10116,29,56,127,44
TR10118,6,3,1,3
TR10119,17,12,51,85
TR1012,5,4,4,3
TR10120,10,9,10,7
TR10121,11,7,5,11
TR10122,15,33,37,22
TR10123,184,176,248,194
TR10124,52,66,66,65
TR10125,13,16,8,4
TR10126,5,8,4,7
TR10128,6,8,11,7
TR10129,13,30,20,21
TR1013,2,5,3,3
TR10131,29,1,67,134
TR10133,14,13,22,12
TR10134,8,11,9,8
TR10139,5,3,4,8
TR1014,2,2,4,2
TR10140,146,209,448,550
TR10141,0,4,5,4
TR10143,29,34,31,48
TR10146,4,11,19,16
TR10147,4,2,17,44
TR10148,3,2,5,4
TR10149,1,5,6,8
TR1015,17,46,23,14
TR10150,13,17,21,14
TR10150-1,5,17,28,5
TR10150-2,64,82,71,82
TR10151,157,56,18,37
TR10152,87,128,129,81
TR10155,1,6,4,5
TR10156,2,2,4,8
TR10156-1,1,6,8,9
TR10156-2,2,4,14,14
TR10157,5,17,8,1
TR10158,3,4,5,4
TR10159,10,7,71,62
TR1016,9,28,61,3
TR10160,150,257,256,267
TR10161,397,494,614,599
TR10162,111,242,57,85
TR10164,27,24,30,23
TR10166,8,13,14,13
TR10167,191,143,130,92
TR10168,70,43,74,123
TR1017,3,3,4,7
TR10171,21,29,54,20
TR10173,4,4,11,12
TR10174,4,12,10,9
TR10175,886,1069,1985,1967
TR10176,20,17,10,11
TR10177,1,0,3,2
TR10178,3,11,8,3
TR1018,1286,1994,1885,1762
TR10181,92,88,140,121
TR10183,177,262,423,631
TR10184,30,19,35,39
TR10188,6,10,35,79
TR10189,116,115,161,309
TR1019,2,3,4,5
TR10190,6,7,0,19
TR10191,6,5,2,1
TR10193,17,14,7,12
TR10195,4,9,6,41
TR10197,5,9,19,28
TR10198,929,1230,791,540
TR10199,31681,41025,55189,59914
TR102-1,0,3,0,0
TR102-2,2,4,3,1
TR1020,0,0,9,1
TR10200,6,5,6,6
TR10201,73,66,102,72
TR10203-1,18,20,14,26
TR10203-2,10,10,40,13
TR10204,45,42,19,2
TR10205,7,10,8,9
TR10207,19,12,15,9
TR10208,1,1,2,5
TR10209,16,14,18,7
TR1021,5,8,11,33
TR10210,3571,5760,7078,5624
TR10211,7,4,6,19
TR10212,1,1,9,16
TR10214,3,3,1,6
TR10217,10,2,6,12
TR10218,5,3,5,3
TR10219,0,4,2,4
TR1022,0,0,8,1
TR10220,1,3,3,4
TR10221,6,6,3,8
TR10222,15,9,93,59
TR10223,3,6,0,5
TR10224,118,202,21,34
TR10226,1,5,7,6
TR10228,3,0,3,3
TR10232,7,3,7,3
TR10235,147,217,416,415
TR10236,186,289,422,296
TR10237,17,31,27,22
TR10238,1,3,0,8
TR10238-1,1,29,2,48
TR10238-2,2,7,3,26
TR10239,13,11,6,0
TR10240,38,40,58,51
TR10241,135,218,70,24
TR10243,66,194,19,6
TR10244,16,9,13,12
TR10246,41,60,111,85
TR10247,16,7,16,13
TR10248,7,5,6,9
TR10249,501,741,547,583
TR1025,23,16,13,9
TR10250,10,16,40,21
TR10253,35,28,56,48
TR10254,24,18,27,39
TR10255,11,3,5,2
TR10256,7,1,7,5
TR10257,1515,2565,1929,1885
TR10258-1,5,9,10,12
TR10258-2,3,2,9,9
TR10259,5,3,6,3
TR10259-1,3,4,1,0
TR10259-2,2,4,0,0
TR1026,96,30,49,51
TR10262,275,389,488,404
TR10265,4,33,0,5
TR10266,68,33,72,42
TR10267,12,13,36,36
TR10268,3,3,7,5
TR10269,18,14,27,43
TR1027,14,10,14,13
TR10270,26,42,51,76
TR10271,13,35,47,28
TR10274,429,246,254,189
TR10276,984,1454,1479,1446
TR10277,8,9,4,8
TR10278,42,48,75,159
TR10279,8,19,26,5
TR10280,100,18,557,559
TR10281,2,3,2,3
TR10282,9,11,15,12
TR10283,7,1,5,1
TR10284,102,111,113,53
TR10285,483,237,264,254
TR10286,2,9,1,1
TR10288-1,4,14,11,17
TR10288-2,7,0,0,4
TR10289,13,31,18,35
TR1029,6,3,5,10
TR10293,2,2,1,15
TR10293-1,3,15,4,1
TR10293-2,1,7,13,20
TR10294-1,0,1,46,0
TR10294-2,160,103,78,74
TR10294-3,1,18,0,1
TR10296,13,2,5,9
TR10298,5,0,2,2
TR10299,24,25,35,19
TR103,0,6,2,7
TR1030-1,12,17,52,34
TR1030-2,40,18,22,73
TR10300,1,9,4,14
TR10301,0,3,6,0
TR10302,45,51,103,51
TR10304,4,3,6,9
TR10305,6,30,28,28
