Feature ID,106A_Female_TotalReads,108A_Female_TotalReads,106A_Male_TotalReads,108A_Male_TotalReads
TR10306,22,15,83,67
TR10307,12,47,17,15
TR10308,5,6,7,4
TR10310,5,22,3,6
TR10312,2,19,7,7
TR10313-1,1,4,1,0
TR10313-2,0,0,8,7
TR10314,1,0,1,4
TR10314-1,2,0,2,23
TR10314-2,6,2,15,0
TR10315,19,10,13,19
TR10316,14,29,52,212
TR10319,14,14,28,29
TR1032,4,8,9,10
TR10320,9,7,11,9
TR10321,142,333,327,203
TR10322,8,8,8,11
TR10323,6,3,4,6
TR10324,16,3,13,68
TR10325,3,9,7,5
TR10326,2,11,11,29
TR10327,10,8,17,18
TR10329,19,18,22,13
TR1033,0,7,1,3
TR10331,22,6,17,25
TR10332,16,13,0,7
TR10333,17,16,31,44
TR10334,0,4,9,5
TR10335,7,23,11,19
TR10336,2,5,11,2
TR10337,4,6,6,3
TR10338,14,8,6,1
TR10339,0,2,6,7
TR1034,1,0,1,7
TR10340,1,4,10,24
TR10342,32,45,77,38
TR10343,25,37,44,21
TR10344-1,1,2,1,3
TR10344-2,6,6,3,3
TR10346,1,8,22,10
TR10348,24,24,41,20
TR10349,29,18,197,146
TR1035,7,3,1,2
TR10350,1,10,25,7
TR10351,7,16,27,44
TR10352,4,5,3,5
TR10353,12,14,31,19
TR10354,11,4,6,5
TR10355,4,1,5,3
TR10356,13,7,8,4
TR10357,6,2,4,2
TR10358,6,15,0,6
TR10359,3,8,16,10
TR1036,7,1,12,14
TR10360,5,15,18,44
TR10362,3,8,11,14
TR10364,6,2,10,8
TR10367,2,0,1,24
TR1037,8,1,8,3
TR10370,7,13,16,11
TR10371,8,13,20,13
TR10372,9,16,6,8
TR10373,5,2,17,25
TR10374,274,295,391,240
TR10375,10,35,31,13
TR10376,0,0,4,5
TR10376-1,1,12,11,4
TR10376-2,3,14,1,0
TR10377,0,1,1,3
TR10377-1,2,1,1,3
TR10377-2,1,1,4,4
TR10378,6,23,20,49
TR10379,0,2,8,7
TR1038,12,12,43,161
TR10381,7,8,12,8
TR10382,12,1,7,1
TR10383,12,15,14,18
TR10384,7,7,10,14
TR10386,119,106,90,77
TR10387,1,10,20,2
TR10388,156,228,245,184
TR10389,4,4,17,10
TR1039,14,41,28,38
TR10390,6,7,20,19
TR10392,4,12,7,12
TR10394,0,0,3,5
TR10396,139,162,200,192
TR10399,1,9,7,2
TR104,108,70,147,59
TR1040,8,5,12,14
TR10401,6,1,24,17
TR10405,15,10,28,32
TR10406,8,4,6,1
TR10407,2,6,8,7
TR10408,1,6,5,13
TR10409,4,13,11,12
TR1041,5,9,2,8
TR10411,7,6,25,17
TR10412,2,8,6,7
TR10413,6,19,11,14
TR10415,6,0,8,6
TR10416,11,3,21,9
TR10417,11,8,12,16
TR10419,11,10,19,8
TR1042,6,3,7,2
TR10421,4,7,4,19
TR10422,2,3,6,3
TR10424,9,19,27,16
TR10426,9,12,22,16
TR10427,1,10,6,4
TR10429,1,2,7,1
TR1043,6,4,6,4
TR10430,3,7,7,4
TR10432,17,21,10,15
TR10433,1,0,7,7
TR10434,3,2,7,6
TR10435,2,5,25,10
TR10436,3,10,4,5
TR10438,0,5,7,6
TR10439-1,5,7,10,5
TR10439-2,4,6,6,5
TR1044,26,43,84,25
TR10440,1,10,1,4
TR10441,29,0,37,6
TR10443,63,15,28,14
TR10444-1,0,3,0,5
TR10444-2,2,1,3,4
TR10446,27,14,17,18
TR10448,0,6,10,3
TR10449,10,19,19,16
TR1045,22,1,11,13
TR10450,17,18,17,26
TR10451,23,33,19,23
TR10452,7,5,10,20
TR10454,11,3,2,3
TR10455,13,18,18,51
TR10456,3,2,6,0
TR10457,4,6,6,17
TR10458,7,5,2,0
TR10459,8,17,32,22
TR1046,1,4,3,2
TR10461,5,9,6,5
TR10462,5,11,11,17
TR10464-1,3,9,1,22
TR10464-2,2,8,1,15
TR10465,15,39,33,7
TR10468,2,6,4,6
TR10469,7,1,8,7
TR10470-1,5,2,10,2
TR10470-2,5,3,0,2
TR10471,6,3,32,29
TR10472,43,141,10,8
TR10473,4,7,12,5
TR10474,24,20,10,3
TR10475,0,0,0,7
TR10476,17,6,7,6
TR10477,10,13,12,20
TR10478,10,8,5,4
TR10479,17,11,36,25
TR10480,6,10,3,24
TR10481-1,4,4,4,4
TR10481-2,0,1,2,1
TR10482,13,13,1,5
TR10483,1,0,23,230
TR10484,1,4,2,3
TR10485,21,28,35,20
TR10487,2,4,0,3
TR10488,6,8,13,1
TR10489,8,0,58,71
TR10490,21,0,6,19
TR10491,7,7,15,7
TR10492,3,3,11,2
TR10493,3,4,7,9
TR10495,47,28,81,47
TR10496,4,4,7,3
TR10498,11,9,16,6
TR1050,6,4,18,6
TR10503,9,15,4,3
TR10504,13,13,26,22
TR10505,8,5,19,2
TR10507,13,24,32,124
TR10508,90,69,81,53
TR1051,33,24,58,48
TR10510,2,0,0,3
TR10511,79,15,145,75
TR10512,1,1,6,6
TR10512-1,9,57,202,91
TR10512-2,70,22,173,274
TR10513,51,16,18,2
TR10514-1,2,6,10,23
TR10514-2,6,3,13,5
TR10515,7,4,2,3
TR10517,2,16,10,8
TR10518,1,6,11,5
TR10519,4,9,31,3
TR1052,8,12,8,9
TR10520,8,10,12,11
TR10521,7,4,8,6
TR10522,32,11,13,5
TR10523,5,8,5,4
TR10524,13,47,13,29
TR10525,23,5,15,25
TR10527,4,21,31,49
TR10528,11,9,2,11
TR10529,10,14,25,26
TR1053,12,6,11,6
TR10530,98,53,109,82
TR10532,2,11,8,12
TR10533,5,7,7,8
TR10534,17,21,1,4
TR10535,0,7,8,3
TR10536,5,3,6,4
TR10537-1,2,0,2,5
TR10537-2,1,3,2,0
TR10538,7,1,28,26
TR1054,10,16,13,11
TR10540,2,17,13,9
TR10541,2,1,7,2
TR10542,22,17,17,24
TR10543,16,15,42,147
TR10544-1,2,1,5,3
TR10544-2,8,5,2,1
TR10546,86,85,125,107
TR10548,7,7,18,11
TR10549,2,8,6,6
TR10550,1,3,6,6
TR10551,25,23,201,214
TR10554,10,6,14,11
TR10555,0,3,0,2
TR10555-1,1,2,3,0
TR10555-2,1,4,5,1
TR10556,1,7,8,3
TR10557,112,26,31,44
TR10558-1,7,2,56,10
TR10558-2,9,12,5,20
TR1056,12,12,7,13
TR10560,2,1,3,2
TR10561,2,44,0,0
TR10563,1,1,12,5
TR10566-1,7,11,1,1
TR10566-2,0,6,1,0
TR10567,18,12,17,15
TR10568,8,15,9,15
TR1057,0,4,1,6
TR10571,9,7,38,14
TR10573,1,4,9,24
TR10578,0,3,4,8
TR10579,4,20,25,150
TR1058,3,7,1,5
TR10580,8,1,0,0
TR10581,8,13,17,14
TR10582,127,4,150,8
TR10585,4,3,11,8
TR10586,21,18,34,33
TR10588,34,64,19,9
TR10589,4,3,4,1
TR1059,7,1,0,1
TR10590,10,6,16,13
TR10591,28,10,11,4
TR10592,7,6,10,12
TR10594,40,11,0,0
TR10595,2,1,12,12
TR10596-1,17,5,7,30
TR10596-2,4,36,14,1
TR10598,9,25,19,26
TR106,33,16,15,17
TR1060,2,5,9,3
TR10601,19,24,31,23
TR10602,1,2,2,3
TR10603,18,18,24,20
TR10604,3,1,20,23
TR10605,4,1,17,14
TR10606-1,2,3,9,17
TR10606-2,8,0,38,27
TR10608,3,4,6,2
TR10609,5,4,8,13
TR10610,6,0,10,2
TR10611,0,12,10,3
TR10612,23651,29055,45075,46272
TR10613,4,6,12,5
TR10614,1,7,6,20
TR10615,16,7,7,22
TR10616,7,11,13,8
TR10617,0,1,2,35
TR10618-1,7,6,8,4
TR10618-2,11,33,22,12
TR10619,13,11,11,11
TR1062,0,0,5,2
TR10620-1,66,46,76,45
TR10620-2,24,23,2,29
TR10624-1,2,1,3,3
TR10624-2,2,13,14,3
TR10625,6,10,16,20
TR10626,8,5,8,3
TR10628,0,1,3,1
TR10629-1,3,4,4,3
TR10629-2,3,5,11,24
TR1063,3,8,10,11
TR10630,246,203,350,305
TR10631,14,19,29,20
TR10632,205,323,364,373
TR10633,39,57,73,50
TR10634,5,10,14,9
TR10635,4,5,0,15
TR10636,8,12,9,5
TR10637-1,3,6,3,10
TR10637-2,4,9,11,19
TR10638,1,3,4,7
TR10639,13,6,17,20
TR1064,16,11,8,16
TR10640,4,8,6,3
TR10641,9,17,24,33
TR10642,9,15,10,2
TR10643,19,29,29,23
TR10644,12,31,31,16
TR10645-1,1,1,5,5
TR10645-2,1,6,0,2
TR10648,1,5,7,5
TR10649,17,6,26,14
TR1065,17,17,27,10
TR10650,1,0,3,3
TR10651,6,5,13,2
TR10652,3,8,4,4
TR10653,33,7,18,19
TR10654,3,13,15,8
TR10655,39,4,38,24
TR10656,45,23,0,0
TR10657,0,68,0,23
TR10658,24,31,52,33
TR10659,3,11,4,3
TR10660,19,12,19,12
TR10661-1,4,16,8,26
TR10661-2,0,3,9,24
TR10662,4,10,13,9
TR10663,20,18,6,20
TR10665,495,722,786,482
TR10666,3,1,3,4
TR10667,11,6,9,15
TR10668,64,61,28,38
TR10669,2,9,60,4
TR1067,47,78,66,59
TR10671,5,9,1,2
TR10672,6,4,9,6
TR10673,2,3,11,14
TR10675,15,5,10,7
TR10677,2,8,10,6
TR10678,16,6,8,10
TR10679,15,14,16,11
TR1068,4,3,3,1
TR10680,5,6,5,1
TR10681-1,4,9,7,10
TR10681-2,3,4,9,3
TR10683,9,0,3,1
TR10684,2,13,11,7
TR10685,5,28,29,20
TR10687,14,11,20,7
TR10689,9,21,14,13
TR1069,3,1,3,7
TR10690,65,25,51,124
TR10691,13,12,11,14
TR10692,15,31,24,69
TR10695,36,41,4,6
TR10696,6,9,8,9
TR10698,8,6,16,6
TR1070,2,4,6,5
TR10701,102,65,125,171
TR10702,15,15,44,20
TR10705,2,0,7,8
TR10706,15,5,10,9
TR10707,14,1,40,66
TR10708,30,17,17,21
TR10709,2,4,3,3
TR1071,2,1,6,13
TR10710-1,1,1,4,0
TR10710-2,1,3,5,2
TR10712-1,2,2,5,2
TR10712-2,1,1,15,14
TR10713,28,4,29,17
TR10714,2,8,12,2
TR10715,12,46,44,30
TR10716,19,27,55,50
TR10717-1,2,1,1,4
TR10717-2,0,1,6,6
TR10718,16,12,23,15
TR1072,7,264,442,627
TR10720,10,17,17,9
TR10723-1,3,0,10,4
TR10723-2,9,9,7,8
TR10724,235,305,293,361
TR10726,0,7,9,10
TR10727,6,11,78,26
TR10728,3,7,8,4
TR10730,2184,2925,4040,3714
TR10731,8,7,14,8
TR10732,2,5,7,5
TR10734,4,12,15,20
TR10735,10,7,16,10
TR10739,42,35,50,34
TR10740,32,38,28,61
TR10742,19,129,68,51
TR10743,11,7,8,7
TR10744,21,16,16,6
TR10745,3,5,6,0
TR10746,130,270,265,460
TR10747,2,4,5,6
TR10748,7,10,8,7
TR1075,11,11,25,23
TR10750,4,15,3,14
TR10751,6,7,8,2
TR10752-1,0,2,4,7
TR10752-2,15,6,4,2
TR10753,4,14,17,13
TR10754,3,3,5,9
TR10755,19,77,45,6
TR10755-1,1,16,0,21
TR10755-2,1,1,37,0
TR10756,2,6,7,9
TR10757,4,7,12,13
TR10758,9,11,13,6
TR10760,0,4,1,1
TR10760-1,5,5,9,5
TR10760-2,5,7,6,1
TR10764,3,3,6,3
TR10766,4,2,4,112
TR10766-1,1,2,1,6
TR10766-2,0,3,2,24
TR10768,1,5,3,6
TR10770,15,32,81,48
TR10771,3,5,16,9
TR10772,94,146,182,119
TR10773,6,12,15,19
TR10774,151,195,258,219
TR10775,10,6,13,30
TR10779,7,4,13,22
TR1078,9,13,27,34
TR10780,0,5,0,11
TR10781,3,7,15,15
TR10782,19,18,29,25
TR10784,3,3,4,11
TR10785-1,17,49,25,13
TR10785-2,10,4,11,16
TR10786,1480,1725,2127,2537
TR10790,32,55,57,35
TR10791,16,6,7,3
TR10792,0,0,30,35
TR10793,4,34,75,4
TR10794,4,6,11,12
TR10795,5,2,4,3
TR10797,10,4,3,6
TR10798,10,31,17,14
TR1080,6,7,2,2
TR10801,9,8,19,16
TR10802,4,6,13,6
TR10804,3,2,10,5
TR10806,2,0,1,6
TR10808,15,4,20,9
TR10811,28,24,45,34
TR10812,43,50,65,57
TR10814,8,11,21,17
TR10815,15,17,15,8
TR10817,129,136,184,56
TR10818,9,7,9,5
TR10819,0,6,5,9
TR10820,5,1,15,9
TR10821-1,300,145,227,237
TR10821-2,109,6,2,11
TR10821-3,269,359,410,247
TR10822-1,3,3,2,0
TR10822-2,1,1,1,4
TR10825,11,11,48,42
TR10826,17,15,31,25
TR10828,7,10,15,18
TR10829,6,6,4,2
TR1083,10,6,19,21
TR10830,107,99,143,108
TR10831,7,16,33,9
TR10832,16,23,148,8
TR10833,5,11,15,17
TR10834,20,1,11,0
TR10835,120,184,150,95
TR10836,4,1,1,9
TR10837,3,9,10,5
TR10838,0,4,0,3
TR10838-1,40,2,0,1
TR10838-2,66,6,0,1
TR10839-1,0,1,0,3
TR10839-2,1,0,3,4
TR10839-3,0,3,9,4
TR10841,35,30,37,51
TR10842,11,12,11,12
TR10843,4,9,9,21
TR10844-1,17,9,19,17
TR10844-2,0,2,11,6
TR10845,2,5,7,1
TR10846,4,3,9,10
TR10848,5,8,15,16
TR10849,10,0,4,0
TR10850,3,2,6,10
TR10851,13,10,38,47
TR10852,91,34,51,14
TR10853,11,23,21,41
TR10854-1,18,1,6,8
TR10854-2,3,0,3,15
TR10855,5,6,13,12
TR10857,19,33,66,61
TR10858,5,4,15,13
TR10859,38,16,15,18
TR1086,4,6,7,18
TR10860,189,297,234,338
TR10862,3,29,23,22
TR10863,24,22,22,19
TR10865,1,9,13,4
TR10866,7,6,19,9
TR10868,40,29,37,61
TR10869,7,26,19,34
TR10870,0,0,10,38
TR10871,0,5,4,3
TR10872-1,0,5,1,2
TR10872-2,1,0,19,3
TR10875,2,2,4,4
TR10876,249,332,459,419
TR10878,2,2,7,6
TR10879,3,0,3,17
TR1088,4,10,6,8
TR10880,4,1,8,5
TR10881-1,0,4,4,1
TR10881-2,3,1,3,1
TR10882,14,33,34,22
TR10883,8,3,26,20
TR10884,5,11,31,32
TR10887,36,32,60,48
TR10888,2,2,11,9
TR10889,22,21,19,27
TR1089,9,12,17,11
TR10890,5,3,4,3
TR10892,5525,17785,1156,73
TR10897,0,0,55,36
TR10898-1,1,2,2,4
TR10898-2,3,3,2,1
TR10899,8,12,19,15
TR109,1,3,1,3
TR1090,76,79,67,32
TR10900,22,9,18,6
TR10901,3,3,59,34
TR10902,2,5,8,9
TR10905,201,127,210,141
TR10907,13,3,7,4
TR10909,4,2,8,3
TR10910-1,4,5,0,5
TR10910-2,9,4,32,6
TR10911,20,24,18,20
TR10912,2,7,8,8
TR10913,2,4,2,3
TR10914,3,5,7,18
TR10915,13,7,18,19
TR10916,1,2,2,5
TR10917,77,5244,1835,5864
TR10919,43,51,25,16
TR1092,15,2,31,10
TR10920,15,30,38,31
TR10921,6,12,14,18
TR10923,21,9,24,55
TR10924,0,5,2,3
TR10925,5,6,8,6
TR10926,2,5,14,0
TR10928-1,93,2,124,91
TR10928-2,31,55,47,206
TR10929,46,0,116,2
TR10930,14,6,12,5
TR10931,9,29,18,20
TR10932,10,18,24,48
TR10933,10,11,20,13
TR10934,14,6,22,42
TR10938,14,9,16,7
TR1094,2,2,2,1
TR10940,39,11,0,0
TR10941,8,9,7,8
TR10942,7,16,33,10
TR10943,9,13,29,19
TR10944,6,19,27,11
TR10947,2,0,7,19
TR10949,6,21,9,14
TR1095,73,51,178,126
TR10950,11,16,24,12
TR10951,12,6,2,3
TR10952,8,8,3,14
TR10954,7,7,6,4
TR10956,3,25,18,14
TR10957,17,1,5,6
TR10958,44,32,40,36
TR10959,15,10,5,7
TR1096,56,64,69,80
TR10961,5,8,24,6
TR10962,2,7,6,7
TR10963,1,4,4,24
TR10964,22,47,24,26
TR10967,2,6,7,5
TR10968,12,28,77,27
TR1097-1,4,7,2,2
TR1097-2,4,4,11,11
TR10970,1,1,33,11
TR10972,2,3,12,6
TR10976,9,0,7,34
TR10977,15,9,18,8
TR10978,10,8,9,7
TR1098,9,11,15,20
TR10980-1,0,2,5,5
TR10980-2,3,20,2,0
TR10981,28,26,27,13
TR10983,12,18,29,13
TR10984,6,5,9,0
TR10985,28,9,9,19
TR10987,5,3,10,4
TR10988-1,0,0,12,0
TR10988-2,1,3,3,2
TR1099,7,8,9,6
TR10990,8,5,5,4
TR10991,3,28,26,19
TR10995,1063,2,1,5
TR10997,7,26,8,11
TR10998,19,20,16,12
TR11,6,4,3,6
TR110,5,15,16,16
TR1100,7,10,16,9
TR11000,9,17,15,16
TR11003,139,386,779,432
TR11004,5,6,10,16
TR11006,2,2,3,9
TR11008,22,37,71,43
TR1101,7,11,3,3
TR11010,17,21,13,9
TR11011,5,9,18,33
TR11013,4,4,22,17
TR11014,2,23,19,13
TR11015,25,62,88,54
TR11017,9,13,21,10
TR11018,27,32,146,83
TR1102,7,6,11,2
TR11021-1,0,0,18,4
TR11021-2,3,9,6,5
TR11023,1301,2134,2017,2500
TR11024,14,28,13,16
TR11025,4,5,4,10
TR11026,5,18,9,25
TR11027,1,2,1,6
TR11028,14,2,49,87
TR11029-1,0,1,7,3
TR11029-2,5,6,1,2
TR11029-3,2,2,1,4
TR1103,1,2,0,5
TR11030,22,9,20,28
TR11033,14,3,6,10
TR11035,17,31,26,26
TR11036,16,17,2,0
TR11039,5,8,14,17
TR1104,1,2,7,4
TR11040,151,174,221,180
TR11041,22,20,23,10
TR11042-1,1,4,1,2
TR11042-2,0,0,3,1
TR11045-1,5,1,10,6
TR11045-2,7,9,11,1
TR11046,0,5,10,3
TR11048,6,7,2,6
TR11049,6,5,18,27
TR11050,2,2,5,15
TR11051-1,4,7,11,3
TR11051-2,9,16,15,5
TR11053-1,10,4,22,17
TR11053-2,4,3,17,10
TR11054,3,18,9,15
TR11055,57,43,110,239
TR11056,16,68,65,52
TR11057,13,17,31,36
TR11059,2,10,6,3
TR1106,20,0,21,28
TR11060,4,1,9,14
TR11061,4,3,3,14
TR11062,13,18,48,19
TR11064-1,8,12,0,4
TR11064-2,4,10,5,7
TR11065,17,4,23,17
TR11066,88,64,64,57
TR11069,5,1,19,26
TR1107,1,1,7,4
TR11070,6,18,16,19
TR11072,2,14,27,30
TR11073,30,2,10,4
TR11074,4,18,19,27
TR11075,37,58,28,31
TR11077,7,1,334,14
TR11079,14,15,27,33
TR1108,192,243,267,205
TR11081,0,0,2,12
TR11082,9,17,14,26
TR11084,21,23,27,36
TR11086,13,8,16,23
TR11087,5,3,8,4
TR11088,916,1322,1443,1050
TR11091,40,197,109,76
TR11092,13,20,15,17
TR11093,18,9,4,20
TR11095,13,2,14,3
TR11096,6,18,24,11
TR11098,12,6,61,25
TR11099,84,193,128,135
TR1110,3,5,1,3
TR11102,33,151,102,71
TR11104,12,17,8,13
TR11105,44,69,81,62
TR11106,18,22,52,19
TR11107,51,0,2,74
TR11109,8,45,9,108
TR11110,13,20,24,40
TR11113,4,5,1,9
TR11115,203,232,411,471
TR11116,3,3,8,8
TR11118,8,4,4,2
TR1112,3,4,2,7
TR11120,32,28,24,16
TR11121,8,14,15,10
TR11122,27,45,38,36
TR11123,0,13,6,2
TR11125,10,25,16,8
TR11126-1,2,0,9,4
TR11126-2,1,0,13,10
TR11126-3,0,0,5,8
TR11127,1,0,13,7
TR11130-1,6,7,4,3
TR11130-2,1,3,8,1
TR11131,25,20,58,66
TR11132,112,116,128,176
TR11133-1,4,1,0,6
TR11133-2,0,0,0,8
TR11134,61,17,30,41
TR11135,20,43,35,32
TR11136,15,8,25,14
TR11137,5,12,16,51
TR11138,0,0,23,57
TR1114,6,5,7,0
TR11140,6,15,10,4
TR11141,4,9,10,8
TR11141-1,10,3,19,6
TR11141-2,23,44,45,49
TR11142,33,47,53,23
TR11143,80,45,73,213
TR11144,6,2,14,17
TR11146,0,26,6,7
TR11147,7,5,8,6
TR11148,19,31,16,57
TR11149,1,8,9,7
TR1115,7,7,4,7
TR11150,8,5,17,21
TR11151,3,6,8,3
TR11152,2,0,4,9
TR11154,22,23,47,17
TR11155,4,8,8,26
TR11156,2,4,71,65
TR11158,9,14,13,20
TR11159-1,27,51,72,77
TR11159-2,59,7,5,151
TR1116,6,8,9,5
